iteracija,a,b,c,d,error
78,-15.939744869358211,-0.1320820353544883,2.5920165814221194,-19.74407968849369,3.213110008350544
79,-15.939744869358211,-0.1320820353544883,2.5920165814221194,-19.74407968849369,3.213110008350544
80,-15.939744869358211,-0.1320820353544883,2.5920165814221194,-19.74407968849369,3.213110008350544
81,-15.939744869358211,-0.1320820353544883,2.5920165814221194,-19.74407968849369,3.213110008350544
82,-15.939744869358211,-0.1320820353544883,2.5920165814221194,-19.74407968849369,3.213110008350544
83,-16.005494443948283,-0.13262700597833077,2.6027114339514705,-19.825537134641152,3.213110008348232
84,-16.005494443948283,-0.13262700597833077,2.6027114339514705,-19.825537134641152,3.213110008348232
85,-15.8564123929327,-0.1313916686702609,2.578468468724099,-19.640870477451774,3.213110008345044
86,-15.884944766128818,-0.13162801019775056,2.583106651422551,-19.676205936666133,3.213110008343508
87,-15.884944766128818,-0.13162801019775056,2.583106651422551,-19.676205936666133,3.213110008343508
88,-15.876314422904782,-0.1315565197332134,2.5817036617000726,-19.665517544471584,3.2131100083430746
89,-15.876314422904782,-0.1315565197332134,2.5817036617000726,-19.665517544471584,3.2131100083430746
90,-15.86172763291603,-0.13143568318868346,2.5793322975307587,-19.647452158638636,3.213110008343055
91,-15.889191695399862,-0.13166324789667466,2.583798167995204,-19.681470827753365,3.2131100083430026
92,-15.90477966396484,-0.13179240872635145,2.5863328144055595,-19.700778122078344,3.2131100083429738
93,-15.915510245522215,-0.13188133348846062,2.5880779099412705,-19.714070527366285,3.213110008342924
94,-16.011317188983515,-0.13267522479003224,2.6036574701766964,-19.83274400773538,3.213110008342923
95,-16.011317188983515,-0.13267522479003224,2.6036574701766964,-19.83274400773538,3.213110008342923
96,-16.011317188983515,-0.13267522479003224,2.6036574701766964,-19.83274400773538,3.213110008342923
97,-16.011317188983515,-0.13267522479003224,2.6036574701766964,-19.83274400773538,3.213110008342923
98,-15.919958977547328,-0.13191819848513608,2.588801362023013,-19.719581190415088,3.2131100083429205
99,-15.919958977547328,-0.13191819848513608,2.588801362023013,-19.719581190415088,3.2131100083429205
100,-15.919958977547328,-0.13191819848513608,2.588801362023013,-19.719581190415088,3.2131100083429205
101,-15.919958977547328,-0.13191819848513608,2.588801362023013,-19.719581190415088,3.2131100083429205
102,-16.008726026874744,-0.13265375464893908,2.6032361360409766,-19.82953455599844,3.21311000834292
103,-15.939868297373708,-0.13208317550402204,2.592038921474606,-19.74424244474136,3.2131100083429196
104,-16.08506414269943,-0.13328631861190884,2.6156497584876193,-19.924092373003166,3.2131100083429187
105,-16.08506414269943,-0.13328631861190884,2.6156497584876193,-19.924092373003166,3.2131100083429187
106,-16.08506414269943,-0.13328631861190884,2.6156497584876193,-19.924092373003166,3.2131100083429187
107,-16.08506414269943,-0.13328631861190884,2.6156497584876193,-19.924092373003166,3.2131100083429187
108,-16.043885482148937,-0.1329450974846562,2.6089535331847236,-19.87308549541999,3.2131100083429183
109,-16.043885482148937,-0.1329450974846562,2.6089535331847236,-19.87308549541999,3.2131100083429183
110,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
111,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
112,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
113,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
114,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
115,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
116,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
117,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
118,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
119,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
120,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
121,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
122,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
123,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
124,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
125,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
126,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
127,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
128,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
129,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
130,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
131,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
132,-15.983857124686079,-0.13244768090041556,2.599192082524946,-19.798730017237435,3.213110008342918
133,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
134,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
135,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
136,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
137,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
138,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
139,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
140,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
141,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
142,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
143,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
144,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
145,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
146,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
147,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
148,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
149,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
150,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
151,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
152,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
153,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
154,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
155,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
156,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
157,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
158,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
159,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
160,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
161,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
162,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
163,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
164,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
165,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
166,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
167,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
168,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
169,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
170,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
171,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
172,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
173,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
174,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
175,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
176,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
177,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
178,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
179,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
180,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
181,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
182,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
183,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
184,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
185,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
186,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
187,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
188,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
189,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
190,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
191,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
192,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
193,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
194,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
195,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
196,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
197,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
198,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
199,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
200,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
201,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
202,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
203,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
204,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
205,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
206,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
207,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
208,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
209,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
210,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
211,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
212,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
213,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
214,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
215,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
216,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
217,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
218,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
219,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
220,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
221,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
222,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
223,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
224,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
225,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
226,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
227,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
228,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
229,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
230,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
231,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
232,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
